Date,Price,Open,High,Low
9-Oct-12,5704.60,5708.15,5728.65,5677.90
10-Oct-12,5652.15,5671.15,5686.50,5647.05
11-Oct-12,5708.05,5663.50,5721.10,5636.95
12-Oct-12,5676.05,5681.70,5725.00,5659.35
15-Oct-12,5687.25,5674.25,5693.70,5651.05
16-Oct-12,5648.00,5705.60,5714.00,5635.60
17-Oct-12,5660.25,5681.10,5684.35,5633.90
18-Oct-12,5718.70,5675.30,5722.50,5650.55
19-Oct-12,5684.25,5703.30,5711.70,5660.00
22-Oct-12,5717.15,5667.60,5721.55,5658.05
23-Oct-12,5691.40,5715.65,5720.80,5681.45
25-Oct-12,5705.30,5688.80,5718.75,5685.70
26-Oct-12,5664.30,5683.55,5697.20,5641.75
29-Oct-12,5665.60,5665.20,5698.30,5645.10
30-Oct-12,5597.90,5656.35,5689.90,5589.90
31-Oct-12,5619.70,5596.75,5624.40,5583.05
1-Nov-12,5645.05,5609.85,5649.75,5601.95
2-Nov-12,5697.70,5696.35,5711.30,5682.55
5-Nov-12,5704.20,5693.05,5709.20,5679.50
6-Nov-12,5724.40,5694.10,5730.80,5693.65
7-Nov-12,5760.10,5718.60,5777.30,5711.40
8-Nov-12,5738.75,5709.00,5744.50,5693.95
9-Nov-12,5686.25,5731.10,5751.70,5677.75
12-Nov-12,5683.70,5688.45,5718.90,5665.75
13-Nov-12,5666.95,5689.70,5698.25,5660.35
15-Nov-12,5631.00,5650.35,5651.65,5603.55
16-Nov-12,5574.05,5624.80,5650.15,5559.80
19-Nov-12,5571.40,5577.30,5592.75,5549.25
20-Nov-12,5571.55,5604.80,5613.70,5548.35
21-Nov-12,5614.80,5582.50,5620.20,5561.40
22-Nov-12,5627.75,5628.60,5643.35,5608.00
23-Nov-12,5626.60,5635.45,5637.75,5593.55
26-Nov-12,5635.90,5648.65,5649.20,5623.45
27-Nov-12,5727.45,5658.50,5733.20,5658.00
29-Nov-12,5825.00,5736.70,5833.50,5736.10
30-Nov-12,5879.85,5836.00,5885.25,5827.85
3-Dec-12,5870.95,5878.25,5899.15,5854.60
4-Dec-12,5889.25,5866.80,5894.95,5859.00
5-Dec-12,5900.50,5906.60,5917.80,5891.35
6-Dec-12,5930.90,5926.30,5942.55,5838.90
7-Dec-12,5907.40,5934.00,5949.85,5888.65
10-Dec-12,5908.90,5916.05,5919.95,5888.10
11-Dec-12,5898.80,5923.80,5965.15,5865.45
12-Dec-12,5888.00,5917.80,5924.60,5874.25
13-Dec-12,5851.50,5900.35,5907.45,5841.35
14-Dec-12,5879.60,5846.90,5886.10,5839.15
17-Dec-12,5857.90,5860.50,5886.05,5850.15
18-Dec-12,5896.80,5873.60,5905.80,5823.15
19-Dec-12,5929.60,5917.30,5939.40,5910.80
20-Dec-12,5916.40,5934.45,5937.60,5881.45
21-Dec-12,5847.70,5888.00,5888.00,5841.65
24-Dec-12,5855.75,5869.00,5871.90,5844.70
26-Dec-12,5905.60,5864.95,5917.30,5859.55
27-Dec-12,5870.10,5930.20,5930.80,5864.70
28-Dec-12,5908.35,5887.15,5915.75,5879.50
31-Dec-12,5905.10,5901.20,5919.00,5897.15
1-Jan-13,5950.85,5937.65,5963.90,5935.20
2-Jan-13,5993.25,5982.60,6006.05,5982.00
3-Jan-13,6009.50,6015.80,6017.00,5986.55
4-Jan-13,6016.15,6011.95,6020.75,5981.55
7-Jan-13,5988.40,6042.15,6042.15,5977.15
8-Jan-13,6001.70,5983.45,6007.05,5964.40
9-Jan-13,5971.50,6006.20,6020.10,5958.45
10-Jan-13,5968.65,5998.80,6005.15,5947.30
11-Jan-13,5951.30,6012.40,6018.85,5940.60
14-Jan-13,6024.05,5967.20,6036.90,5962.15
15-Jan-13,6056.60,6037.85,6068.50,6018.60
16-Jan-13,6001.85,6049.00,6055.95,5992.05
17-Jan-13,6039.20,6001.25,6053.20,5988.10
18-Jan-13,6064.40,6059.85,6083.40,6048.30
21-Jan-13,6082.30,6085.75,6094.35,6065.10
22-Jan-13,6048.50,6080.15,6101.30,6040.50
23-Jan-13,6054.30,6052.85,6069.80,6021.15
24-Jan-13,6019.35,6046.20,6065.30,6007.85
25-Jan-13,6074.65,6024.50,6080.55,6014.45
28-Jan-13,6074.80,6082.10,6088.40,6061.40
29-Jan-13,6049.90,6064.70,6111.80,6042.45
30-Jan-13,6055.75,6065.00,6071.95,6044.15
31-Jan-13,6034.75,6045.65,6058.05,6025.15
1-Feb-13,5998.90,6040.95,6052.95,5983.20
4-Feb-13,5987.25,6025.20,6038.50,5981.25
5-Feb-13,5956.90,5948.20,5970.35,5946.90
